,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter.1,KD.1,Sig. str. %.1,Td %.1,Sub. att.1,Pass.1,Rev..1,Sig. str. Hits.1,Sig. str. Attempts.1,Total str. Hits.1,Total str. Attempts.1,Td Hits.1,Td Attempts.1,Head Hits.1,Head Attempts.1,Body Hits.1,Body Attempts.1,Leg Hits.1,Leg Attempts.1,Distance Hits.1,Distance Attempts.1,Clinch Hits.1,Clinch Attempts.1,Ground Hits.1,Ground Attempts.1,rounds,time,format,referee,url
1126,David Teymur,0,37%,33%,0,0,0,52,137,71,164,1,3,16,81,14,31,22,25,47,132,4,4,1,1,Drakkar Klose,0,39%,28%,0,1,0,39,100,55,118,2,7,22,82,15,15,2,3,32,88,6,11,1,1,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/676320a61f800f10
1127,Felice Herrig,0,29%,50%,0,1,0,76,262,82,268,1,2,47,219,11,16,18,27,75,260,1,1,0,1,Cortney Casey,0,39%,0%,0,0,1,91,233,92,234,0,0,68,208,3,4,20,21,90,229,1,3,0,1,3,00:05:00,3 Rnd (5-5-5),Bobby  Wombacher,http://ufcstats.com/fight-details/1a502852b706f674
1128,Amanda Cooper,0,66%,33%,1,9,0,40,60,131,184,1,3,34,54,6,6,0,0,4,19,2,3,34,38,Angela Magana,0,38%,0%,0,0,0,12,31,17,38,0,1,3,19,6,8,3,4,10,29,1,1,1,1,2,00:04:34,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/6c25f8fd66f16d7e
1129,Sabah Homasi,0,65%,0%,0,0,0,39,60,41,62,0,2,23,42,12,14,4,4,16,33,18,22,5,5,Abdul Razak Alhassan,1,44%,33%,0,0,0,27,61,34,70,1,3,22,55,2,2,3,4,18,48,9,13,0,0,1,00:04:21,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/6aea6d3e6944999c
1130,Jeremy Kimball,0,66%,25%,0,0,0,4,6,4,6,1,4,4,6,0,0,0,0,2,4,1,1,1,1,Dominick Reyes,0,57%,100%,1,2,0,16,28,27,42,1,1,13,25,2,2,1,1,3,5,0,0,13,23,1,00:03:39,3 Rnd (5-5-5),Bobby  Wombacher,http://ufcstats.com/fight-details/a3b7cbdb6d2607f4
1131,Justin Willis,1,50%,0%,0,0,0,22,44,25,47,0,0,21,43,1,1,0,0,14,25,6,17,2,2,Allen Crowder,0,39%,0%,0,0,0,15,38,17,41,0,0,6,29,1,1,8,8,13,31,2,7,0,0,1,00:02:33,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/40d9b5b47acf260b
1132,Nicco Montano,0,40%,50%,1,5,1,186,456,242,524,3,6,138,397,13,23,35,36,161,422,10,18,15,16,Roxanne Modafferi,0,32%,22%,1,1,0,132,403,154,433,2,9,112,373,12,21,8,9,123,391,7,10,2,2,5,00:05:00,5 Rnd (5-5-5-5-5),John McCarthy,http://ufcstats.com/fight-details/2f1f16c86a8cc6e2
1133,Sean O'Malley,0,55%,50%,0,0,0,141,252,142,255,3,6,119,224,20,26,2,2,131,241,6,7,4,4,Terrion Ware,0,30%,0%,0,0,0,88,288,96,296,0,2,59,241,17,27,12,20,83,271,5,17,0,0,3,00:05:00,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/c11b2cbe2460db0c
1134,Barb Honchak,0,30%,0%,2,0,0,71,236,75,241,0,0,55,216,3,5,13,15,71,236,0,0,0,0,Lauren Murphy,0,29%,100%,0,1,0,59,197,77,222,2,2,49,184,2,4,8,9,59,197,0,0,0,0,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/dd0c8e9880c6fa24
1135,Eric Spicely,0,54%,20%,1,1,0,17,31,59,81,1,5,15,28,2,3,0,0,11,24,1,1,5,6,Gerald Meerschaert,1,42%,0%,0,0,1,36,85,45,95,0,0,30,77,6,8,0,0,33,82,1,1,2,2,2,00:02:18,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/52db9c816eb99800
1136,DeAnna Bennett,0,58%,0%,1,0,0,47,81,82,117,0,11,25,54,16,21,6,6,27,57,19,23,1,1,Melinda Fabian,1,41%,0%,0,0,0,49,117,102,175,0,0,34,98,12,16,3,3,32,91,17,24,0,2,3,00:05:00,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/c4785ee94698e532
1137,Joe Soto,0,0%,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Brett Johns,0,11%,0%,1,0,0,1,9,1,9,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,00:00:30,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/37835a0f9bbb4d4e
1138,Christina Marks,0,58%,100%,0,0,0,10,17,17,24,1,1,6,13,2,2,2,2,7,12,3,4,0,1,Montana De La Rosa,0,35%,0%,1,0,0,6,17,8,19,0,0,3,13,2,3,1,1,3,10,3,7,0,0,1,00:02:00,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/f9830f1c23ac92d0
1139,Andrew Sanchez,2,52%,42%,0,0,0,96,183,113,200,3,7,90,173,6,10,0,0,80,160,9,14,7,9,Ryan Janes,0,59%,0%,0,0,0,159,267,200,312,0,0,121,226,32,35,6,6,131,232,28,35,0,0,3,00:00:58,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/b40bed83fc062380
1140,Karine Gevorgyan,0,20%,0%,0,0,0,2,10,2,10,0,2,2,10,0,0,0,0,2,10,0,0,0,0,Rachael Ostovich,0,23%,100%,1,1,0,3,13,5,15,1,1,1,10,0,0,2,3,3,13,0,0,0,0,1,00:01:40,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/8b79a80f775d9f03
1141,Ariel Beck,0,34%,0%,0,0,0,35,102,35,102,0,0,8,52,16,37,11,13,34,100,1,2,0,0,Shana Dobson,1,35%,0%,0,0,0,34,95,36,97,0,0,19,70,9,16,6,9,31,92,3,3,0,0,2,00:02:53,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/f0e0effb1b2de6ae
1142,Gillian Robertson,0,33%,100%,1,2,0,2,6,4,8,1,1,2,6,0,0,0,0,2,6,0,0,0,0,Emily Whitmire,0,60%,0%,0,0,1,9,15,13,20,0,0,7,13,0,0,2,2,6,12,2,2,1,1,1,00:02:12,3 Rnd (5-5-5),Chris Tognoni,http://ufcstats.com/fight-details/1eccf793b54b84f8
1143,Michael Bisping,0,29%,0%,0,0,0,7,24,7,24,0,0,5,22,1,1,1,1,7,24,0,0,0,0,Kelvin Gastelum,1,51%,0%,0,0,0,14,27,14,27,0,0,7,19,5,6,2,2,9,20,1,1,4,6,1,00:02:30,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/32ad75f6c8ca7e9f
1144,Jingliang Li,1,52%,0%,0,0,0,26,50,27,51,0,0,15,38,1,1,10,11,17,37,0,0,9,13,Zak Ottow,0,29%,0%,0,0,0,5,17,5,17,0,0,2,12,0,2,3,3,5,17,0,0,0,0,1,00:02:57,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/52bae6f01ea9f926
1145,Wang Guan,1,43%,0%,0,1,0,71,164,75,169,0,3,30,106,11,20,30,38,61,149,2,3,8,12,Alex Caceres,0,39%,0%,0,0,0,49,123,49,124,0,0,22,91,21,24,6,8,43,115,6,8,0,0,3,00:05:00,3 Rnd (5-5-5),Steve Perceval,http://ufcstats.com/fight-details/62eaf9f2436bef25
1146,Muslim Salikhov,0,37%,0%,0,2,0,10,27,10,27,0,0,4,16,3,8,3,3,10,27,0,0,0,0,Alex Garcia,0,25%,42%,1,3,0,6,24,21,39,3,7,6,24,0,0,0,0,4,20,0,1,2,3,2,00:03:22,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/9f428684f3db247f
1147,Zabit Magomedsharipov,0,48%,73%,1,10,1,34,70,60,101,11,15,28,57,1,6,5,7,14,37,0,0,20,33,Sheymon Moraes,0,58%,0%,0,1,0,18,31,23,38,0,0,7,17,7,9,4,5,17,30,0,0,1,1,3,00:04:30,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/4ba97e13df33388b
1148,Kenan Song,1,100%,0%,0,0,0,14,14,15,15,0,0,13,13,1,1,0,0,2,2,0,0,12,12,Bobby Nash,0,33%,0%,0,0,0,1,3,1,3,0,0,0,2,1,1,0,0,1,3,0,0,0,0,1,00:00:15,3 Rnd (5-5-5),Herb Dean,http://ufcstats.com/fight-details/43ae6a9daa51ed93
1149,Kailin Curran,0,38%,33%,0,2,0,52,134,139,233,2,6,33,110,12,16,7,8,34,106,13,17,5,11,Xiaonan Yan,0,45%,0%,0,0,0,96,211,106,222,0,0,80,191,5,7,11,13,76,183,18,24,2,4,3,00:05:00,3 Rnd (5-5-5),Thomas Fan,http://ufcstats.com/fight-details/47628ab025f19796
1150,Song Yadong,1,27%,0%,1,0,0,8,29,9,30,0,0,6,23,1,3,1,3,7,27,0,0,1,2,Bharat Kandare,0,10%,0%,0,0,0,3,30,3,30,0,1,1,22,0,0,2,8,3,30,0,0,0,0,1,00:04:16,3 Rnd (5-5-5),John Sharp,http://ufcstats.com/fight-details/c8609059d2d87724
1151,Chase Sherman,0,38%,0%,0,0,0,5,13,5,13,0,0,4,12,0,0,1,1,5,13,0,0,0,0,Shamil Abdurakhimov,1,60%,0%,0,0,0,6,10,6,10,0,0,5,8,1,2,0,0,6,10,0,0,0,0,1,00:01:24,3 Rnd (5-5-5),Steve Perceval,http://ufcstats.com/fight-details/4d5c3ddc740b89ca
1152,Yanan Wu,0,43%,50%,0,1,0,22,51,41,72,1,2,7,30,12,15,3,6,9,34,12,16,1,1,Gina Mazany,0,58%,71%,0,1,0,38,65,202,255,5,7,23,46,11,14,4,5,13,33,17,23,8,9,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/e5fbb99bc3907516
