,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
0,Jimi Manuwa,0,66%,0%,0,0,0,48 , 72,51 , 76,0 , 4,8 , 26,9 , 12,31 , 34,21 , 40,27 , 32,0 , 0,Ryan Jimmo,0,66%,0%,0,0,0,36 , 54,37 , 55,0 , 1,11 , 26,9 , 11,16 , 17,17 , 32,19 , 22,0 , 0,2,00:04:41,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/c33671cab408184b
1,Norman Parke,0,32%,100%,0,0,0,81 , 246,82 , 248,1 , 1,66 , 223,14 , 19,1 , 4,80 , 242,1 , 4,0 , 0,Jon Tuck,0,37%,0%,0,0,0,67 , 178,69 , 180,0 , 1,35 , 137,13 , 18,19 , 23,64 , 172,3 , 6,0 , 0,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/a34dc365302238e8
2,Alessio Sakara,0,74%,100%,0,1,0,20 , 27,28 , 35,1 , 1,17 , 24,3 , 3,0 , 0,9 , 13,4 , 4,7 , 10,Nico Musoke,0,50%,100%,1,1,0,12 , 24,21 , 35,1 , 1,9 , 21,1 , 1,2 , 2,6 , 16,5 , 7,1 , 1,1,00:03:07,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/2a50b91600e87994
3,Phil Harris,0,36%,0%,0,0,0,14 , 38,14 , 38,0 , 0,13 , 37,1 , 1,0 , 0,14 , 37,0 , 1,0 , 0,John Lineker,3,45%,0%,0,0,0,31 , 68,34 , 71,0 , 0,18 , 45,10 , 20,3 , 3,26 , 59,2 , 4,3 , 5,1,00:02:51,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/4c0718f12ca664bb
4,Al Iaquinta,0,43%,25%,0,0,0,85 , 197,87 , 200,2 , 8,62 , 168,15 , 21,8 , 8,75 , 184,5 , 8,5 , 5,Piotr Hallmann,0,37%,33%,0,0,0,66 , 176,91 , 204,3 , 9,40 , 133,18 , 28,8 , 15,65 , 174,0 , 1,1 , 1,3,00:05:00,3 Rnd (5-5-5),,http://ufcstats.com/fight-details/22fdf7a08691db5d
5,Luke Barnatt,2,36%,100%,1,2,0,39 , 108,42 , 111,1 , 1,30 , 93,6 , 8,3 , 7,27 , 94,4 , 4,8 , 10,Andrew Craig,0,38%,0%,0,0,0,26 , 67,26 , 67,0 , 0,16 , 54,2 , 3,8 , 10,26 , 67,0 , 0,0 , 0,2,00:02:12,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/6fbd9d599d638106
6,Rosi Sexton,0,35%,12%,0,0,0,88 , 245,111 , 272,1 , 8,64 , 215,5 , 6,19 , 24,85 , 242,3 , 3,0 , 0,Jessica Andrade,0,59%,50%,0,1,0,206 , 344,215 , 356,1 , 2,179 , 314,21 , 24,6 , 6,196 , 334,9 , 9,1 , 1,3,00:05:00,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/5364d1537fc7d5aa
7,Andy Ogle,0,52%,33%,0,0,0,27 , 51,112 , 138,2 , 6,14 , 34,8 , 12,5 , 5,23 , 42,0 , 0,4 , 9,Cole Miller,0,52%,0%,1,2,2,21 , 40,55 , 75,0 , 0,17 , 34,4 , 5,0 , 1,16 , 35,3 , 3,2 , 2,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/0051d7fbb7893d27
8,Jimy Hettes,0,100%,75%,2,4,0,5 , 5,18 , 18,3 , 4,4 , 4,0 , 0,1 , 1,4 , 4,1 , 1,0 , 0,Rob Whiteford,0,53%,0%,0,0,1,15 , 28,23 , 36,0 , 3,11 , 22,3 , 5,1 , 1,14 , 27,1 , 1,0 , 0,2,00:02:17,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/ce9e10ad39976287
9,Bradley Scott,0,60%,0%,2,0,0,14 , 23,23 , 32,0 , 3,6 , 14,3 , 3,5 , 6,6 , 15,8 , 8,0 , 0,Michael Kuiper,0,77%,25%,0,0,0,7 , 9,8 , 10,1 , 4,0 , 1,3 , 3,4 , 5,4 , 6,3 , 3,0 , 0,1,00:04:17,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/46c89e7e886cdc5b
10,Cain Velasquez,1,61%,15%,1,1,0,123 , 201,274 , 378,2 , 13,96 , 168,7 , 8,20 , 25,44 , 84,66 , 99,13 , 18,Junior Dos Santos,0,37%,0%,1,0,0,46 , 122,62 , 140,0 , 1,36 , 106,10 , 16,0 , 0,24 , 84,21 , 37,1 , 1,5,00:03:09,5 Rnd (5-5-5-5-5),Herb Dean,http://ufcstats.com/fight-details/0bdc4e7ce6687367
11,Daniel Cormier,0,50%,60%,0,0,0,74 , 148,83 , 157,3 , 5,50 , 121,13 , 15,11 , 12,59 , 129,12 , 15,3 , 4,Roy Nelson,0,20%,0%,0,0,0,17 , 82,26 , 91,0 , 0,11 , 72,1 , 4,5 , 6,16 , 78,1 , 4,0 , 0,3,00:05:00,3 Rnd (5-5-5),Jacob Montalvo,http://ufcstats.com/fight-details/e7cb40d82d987b9e
