,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
0,BJ Penn,0,37%,0%,0,0,0,3 , 8,8 , 15,0 , 0,1 , 5,1 , 1,1 , 2,2 , 5,0 , 0,1 , 3,Ryan Hall,0,40%,0%,1,0,0,6 , 15,8 , 19,0 , 0,0 , 7,1 , 2,5 , 6,6 , 14,0 , 1,0 , 0,1,00:02:46,3 Rnd (5-5-5),Ed Collantes,http://ufcstats.com/fight-details/bd7a8c6c74655afc
1,Nathaniel Wood,1,53%,66%,1,4,0,61 , 114,171 , 234,2 , 3,32 , 71,16 , 17,13 , 26,28 , 72,4 , 5,29 , 37,Andre Ewell,0,25%,0%,0,0,0,15 , 58,18 , 62,0 , 0,10 , 43,5 , 15,0 , 0,13 , 54,2 , 4,0 , 0,3,00:04:12,3 Rnd (5-5-5),Mark Smith,http://ufcstats.com/fight-details/61bf6748cf85eb84
2,Uriah Hall,1,44%,0%,0,0,0,39 , 88,42 , 91,0 , 0,13 , 48,5 , 13,21 , 27,39 , 88,0 , 0,0 , 0,Bevon Lewis,0,43%,0%,0,0,0,68 , 157,77 , 168,0 , 0,27 , 100,4 , 9,37 , 48,56 , 139,12 , 18,0 , 0,3,00:01:32,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/4de25b19c4dedb14
3,Curtis Millender,0,53%,0%,0,1,0,89 , 165,91 , 167,0 , 0,59 , 112,8 , 20,22 , 33,84 , 160,5 , 5,0 , 0,Siyar Bahadurzada,0,33%,42%,0,2,0,40 , 121,65 , 149,3 , 7,30 , 98,4 , 14,6 , 9,29 , 104,2 , 5,9 , 12,3,00:05:00,3 Rnd (5-5-5),Mike Beltran,http://ufcstats.com/fight-details/3f5a623cf360c494
4,Brian Kelleher,0,60%,0%,0,0,0,6 , 10,6 , 10,0 , 1,0 , 3,0 , 1,6 , 6,6 , 10,0 , 0,0 , 0,Montel Jackson,0,62%,0%,1,0,0,10 , 16,16 , 27,0 , 0,6 , 11,2 , 3,2 , 2,7 , 12,1 , 1,2 , 3,1,00:01:40,3 Rnd (5-5-5),Ed Collantes,http://ufcstats.com/fight-details/8ce926b4d38a55a0
5,Kevin Lee,0,34%,60%,0,3,0,102 , 296,121 , 319,3 , 5,80 , 267,14 , 21,8 , 8,81 , 273,1 , 1,20 , 22,Al Iaquinta,0,48%,0%,0,0,0,111 , 228,113 , 230,0 , 7,82 , 189,19 , 28,10 , 11,110 , 226,0 , 0,1 , 2,5,00:05:00,5 Rnd (5-5-5-5-5),Keith Peterson,http://ufcstats.com/fight-details/b9c82dfde8b66e37
6,Edson Barboza,1,55%,0%,0,0,0,126 , 226,127 , 227,0 , 1,71 , 160,36 , 43,19 , 23,117 , 215,9 , 11,0 , 0,Dan Hooker,0,39%,0%,0,1,0,81 , 204,111 , 234,0 , 1,59 , 161,12 , 29,10 , 14,78 , 198,3 , 6,0 , 0,3,00:02:19,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/920b6f739a36e721
7,Rob Font,0,44%,50%,1,2,1,111 , 247,118 , 255,2 , 4,79 , 212,25 , 28,7 , 7,102 , 227,1 , 1,8 , 19,Sergio Pettis,0,38%,50%,0,1,0,71 , 185,88 , 206,1 , 2,53 , 165,7 , 9,11 , 11,71 , 183,0 , 0,0 , 2,3,00:05:00,3 Rnd (5-5-5),Robert Madrigal,http://ufcstats.com/fight-details/4da4c5ef6a4ffc5b
8,Jim Miller,0,50%,0%,0,0,0,1 , 2,1 , 2,0 , 0,0 , 1,0 , 0,1 , 1,1 , 2,0 , 0,0 , 0,Charles Oliveira,0,0%,100%,1,1,0,0 , 1,1 , 2,1 , 1,0 , 0,0 , 0,0 , 1,0 , 1,0 , 0,0 , 0,1,00:01:15,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/f3e289f1423c0e6f
9,Zak Ottow,0,19%,16%,0,0,0,14 , 71,22 , 82,1 , 6,5 , 53,7 , 14,2 , 4,11 , 67,2 , 3,1 , 1,Dwight Grant,0,29%,100%,0,0,0,25 , 84,33 , 93,1 , 1,15 , 71,7 , 9,3 , 4,19 , 77,5 , 6,1 , 1,3,00:05:00,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/c0ab927864bb6e98
10,Bobby Green,0,59%,25%,1,5,0,92 , 154,110 , 176,1 , 4,39 , 91,27 , 31,26 , 32,69 , 126,13 , 15,10 , 13,Drakkar Klose,0,44%,0%,0,0,0,58 , 131,69 , 143,0 , 6,26 , 89,12 , 16,20 , 26,45 , 114,9 , 11,4 , 6,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/b69d3d55c84f5dd6
11,Jared Gordon,0,59%,37%,0,6,0,116 , 194,149 , 228,3 , 8,94 , 166,10 , 15,12 , 13,88 , 163,13 , 15,15 , 16,Joaquim Silva,0,49%,100%,2,1,0,95 , 191,121 , 218,1 , 1,54 , 138,30 , 42,11 , 11,78 , 172,15 , 17,2 , 2,3,00:02:39,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/92fd2127f46b0cb7
12,Gerald Meerschaert,0,50%,0%,0,0,1,1 , 2,1 , 2,0 , 2,0 , 1,1 , 1,0 , 0,0 , 1,1 , 1,0 , 0,Jack Hermansson,0,69%,50%,1,9,0,41 , 59,53 , 73,1 , 2,37 , 54,3 , 4,1 , 1,1 , 1,2 , 3,38 , 55,1,00:04:25,3 Rnd (5-5-5),Robert Madrigal,http://ufcstats.com/fight-details/986f0b480389ad25
13,Trevor Smith,0,52%,0%,0,2,1,54 , 103,73 , 128,0 , 0,42 , 85,11 , 14,1 , 4,41 , 81,5 , 9,8 , 13,Zak Cummings,1,40%,0%,0,1,0,56 , 139,63 , 147,0 , 5,30 , 108,9 , 11,17 , 20,48 , 128,4 , 7,4 , 4,3,00:05:00,3 Rnd (5-5-5),Keith Peterson,http://ufcstats.com/fight-details/bf41783b9446891e
14,Dan Ige,0,52%,42%,0,7,1,56 , 107,86 , 144,3 , 7,46 , 95,7 , 8,3 , 4,20 , 53,4 , 4,32 , 50,Jordan Griffin,0,52%,0%,1,0,1,56 , 107,71 , 123,0 , 2,49 , 100,7 , 7,0 , 0,31 , 65,4 , 4,21 , 38,3,00:05:00,3 Rnd (5-5-5),Joe Fipp,http://ufcstats.com/fight-details/1b6e5363eb81c409
15,Adam Milstead,0,47%,0%,0,0,0,10 , 21,22 , 34,0 , 0,5 , 16,2 , 2,3 , 3,9 , 20,0 , 0,1 , 1,Mike Rodriguez,2,83%,0%,0,0,0,35 , 42,44 , 53,0 , 0,25 , 30,8 , 10,2 , 2,16 , 23,5 , 5,14 , 14,1,00:02:59,3 Rnd (5-5-5),Rob Hinds,http://ufcstats.com/fight-details/05f1e8ff81dbe05b
