,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
0,Alexander Gustafsson,0,50%,0%,0,0,0,10 , 20,10 , 20,0 , 0,8 , 16,0 , 1,2 , 3,10 , 20,0 , 0,0 , 0,Anthony Johnson,1,63%,0%,0,0,0,30 , 47,38 , 56,0 , 0,29 , 45,0 , 0,1 , 2,9 , 21,4 , 5,17 , 21,1,00:02:15,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/f47a32ec7dfda660
1,Dan Henderson,0,36%,0%,0,0,0,4 , 11,4 , 11,0 , 0,1 , 8,0 , 0,3 , 3,4 , 11,0 , 0,0 , 0,Gegard Mousasi,1,18%,0%,0,0,0,4 , 22,5 , 24,0 , 0,3 , 21,0 , 0,1 , 1,3 , 21,0 , 0,1 , 1,1,00:01:10,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/c910d2fe570b368a
2,Phil Davis,0,27%,0%,0,0,0,35 , 129,51 , 145,0 , 9,11 , 86,15 , 28,9 , 15,29 , 116,6 , 13,0 , 0,Ryan Bader,0,22%,33%,0,0,0,26 , 117,29 , 120,1 , 3,19 , 102,4 , 10,3 , 5,24 , 112,1 , 4,1 , 1,3,00:05:00,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/c3544bce29be1281
3,Akira Corassani,0,32%,0%,0,0,0,10 , 31,11 , 32,0 , 0,5 , 22,1 , 4,4 , 5,10 , 30,0 , 1,0 , 0,Sam Sicilia,1,38%,0%,0,0,0,10 , 26,12 , 28,0 , 0,6 , 21,3 , 4,1 , 1,7 , 22,2 , 3,1 , 1,1,00:03:26,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/eb0775cf8ee7a4e6
4,Nico Musoke,0,34%,0%,0,0,0,65 , 190,65 , 190,0 , 10,35 , 153,26 , 33,4 , 4,64 , 189,1 , 1,0 , 0,Albert Tumenov,0,43%,0%,0,0,0,87 , 201,87 , 201,0 , 1,81 , 181,4 , 17,2 , 3,83 , 196,4 , 4,0 , 1,3,00:05:00,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/eab6e19a2a2a67f0
5,Kenny Robertson,1,42%,0%,0,0,0,14 , 33,14 , 33,0 , 3,8 , 25,2 , 4,4 , 4,10 , 28,2 , 3,2 , 2,Sultan Aliev,0,57%,0%,0,0,0,8 , 14,8 , 14,0 , 0,5 , 11,3 , 3,0 , 0,6 , 11,2 , 3,0 , 0,1,00:02:42,3 Rnd (5-5-5),Bobby Rehman,http://ufcstats.com/fight-details/c565bf49fce2a4cd
6,Andy Ogle,0,0%,0%,0,0,0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,0 , 0,Makwan Amirkhani,1,85%,0%,0,0,0,6 , 7,6 , 7,0 , 0,5 , 6,1 , 1,0 , 0,2 , 2,0 , 0,4 , 5,1,00:00:08,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/9c1d4f57a997a490
7,Nikita Krylov,1,81%,0%,1,0,0,13 , 16,14 , 17,0 , 0,11 , 14,1 , 1,1 , 1,2 , 4,2 , 2,9 , 10,Stanislav Nedkov,0,50%,0%,0,0,0,4 , 8,4 , 8,0 , 1,4 , 7,0 , 1,0 , 0,4 , 8,0 , 0,0 , 0,1,00:01:24,3 Rnd (5-5-5),Marc Goddard,http://ufcstats.com/fight-details/b2398418be9a3442
8,Mairbek Taisumov,0,62%,100%,0,0,0,37 , 59,37 , 59,2 , 2,26 , 44,5 , 6,6 , 9,28 , 44,1 , 3,8 , 12,Anthony Christodoulou,0,23%,0%,0,0,0,9 , 38,9 , 38,0 , 1,6 , 33,0 , 0,3 , 5,9 , 36,0 , 1,0 , 1,2,00:00:38,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/ee65977baeca3c85
9,Mirsad Bektic,0,60%,66%,0,13,0,34 , 56,154 , 194,2 , 3,33 , 55,1 , 1,0 , 0,5 , 16,0 , 0,29 , 40,Paul Redmond,0,28%,0%,0,0,0,2 , 7,16 , 22,0 , 2,1 , 6,1 , 1,0 , 0,2 , 7,0 , 0,0 , 0,3,00:05:00,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/c740ceb0427b6317
10,Viktor Pesta,0,59%,30%,0,4,0,35 , 59,124 , 161,4 , 13,25 , 47,5 , 6,5 , 6,10 , 26,3 , 6,22 , 27,Konstantin Erokhin,0,47%,0%,0,0,0,17 , 36,23 , 43,0 , 0,11 , 28,4 , 6,2 , 2,12 , 29,5 , 7,0 , 0,3,00:05:00,3 Rnd (5-5-5),Bobby Rehman,http://ufcstats.com/fight-details/96f09d5db68951ef
11,Neil Seery,0,36%,33%,4,1,2,56 , 152,106 , 204,1 , 3,50 , 137,1 , 5,5 , 10,34 , 125,8 , 11,14 , 16,Chris Beal,0,28%,50%,0,3,1,39 , 135,61 , 160,2 , 4,26 , 117,9 , 14,4 , 4,22 , 99,4 , 9,13 , 27,3,00:05:00,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/f88fefd5df0ba06c
