,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,Fighter,KD,Sig. str. %,Td %,Sub. att,Pass,Rev.,Sig. str. Hits,Sig. str. Attempts,Total str. Hits,Total str. Attempts,Td Hits,Td Attempts,Head Hits,Head Attempts,Body Hits,Body Attempts,Leg Hits,Leg Attempts,Distance Hits,Distance Attempts,Clinch Hits,Clinch Attempts,Ground Hits,Ground Attempts,rounds,time,format,referee,url
13,Jeremy Stephens,5,38%,0%,0,1,0,96 , 250,101 , 255,0 , 0,53 , 197,11 , 18,32 , 35,79 , 229,7 , 10,10 , 11,Gilbert Melendez,0,22%,0%,0,0,0,29 , 129,30 , 130,0 , 0,27 , 122,1 , 4,1 , 3,27 , 124,2 , 2,0 , 3,3,00:05:00,3 Rnd (5-5-5),Jerin Valel,http://ufcstats.com/fight-details/94c7e64ce88c9b9e
14,Sara McMann,0,50%,20%,0,2,0,29 , 58,36 , 67,1 , 5,25 , 52,2 , 3,2 , 3,1 , 9,9 , 11,19 , 38,Ketlen Vieira,0,80%,100%,2,1,0,17 , 21,35 , 45,1 , 1,16 , 20,1 , 1,0 , 0,0 , 4,14 , 14,3 , 3,2,00:04:16,3 Rnd (5-5-5),Yves Lavigne,http://ufcstats.com/fight-details/92eb0a297c7ea197
15,Sarah Moras,0,50%,0%,1,0,0,3 , 6,5 , 9,0 , 1,2 , 5,0 , 0,1 , 1,0 , 1,0 , 1,3 , 4,Ashlee Evans-Smith,0,33%,0%,0,1,0,3 , 9,5 , 11,0 , 0,1 , 5,2 , 4,0 , 0,0 , 4,2 , 4,1 , 1,1,00:02:51,3 Rnd (5-5-5),Yves Lavigne,http://ufcstats.com/fight-details/a773883743242df9
16,Gavin Tucker,0,28%,0%,1,0,0,23 , 82,43 , 105,0 , 4,14 , 69,5 , 8,4 , 5,12 , 64,9 , 15,2 , 3,Rick Glenn,1,59%,57%,1,1,0,142 , 237,184 , 289,4 , 7,96 , 182,40 , 47,6 , 8,31 , 68,23 , 39,88 , 130,3,00:05:00,3 Rnd (5-5-5),Kyle Cardinal,http://ufcstats.com/fight-details/f597d2e69ab7c270
17,Mitch Clarke,0,33%,0%,0,0,0,28 , 83,34 , 90,0 , 4,11 , 41,8 , 19,9 , 23,18 , 69,10 , 13,0 , 1,Alex White,3,49%,0%,0,0,0,57 , 115,62 , 122,0 , 0,46 , 100,10 , 13,1 , 2,28 , 75,28 , 37,1 , 3,2,00:04:36,3 Rnd (5-5-5),Jerin Valel,http://ufcstats.com/fight-details/31c4518a1e71c050
18,Luis Henrique,0,28%,0%,0,0,0,32 , 114,54 , 137,0 , 0,18 , 95,9 , 14,5 , 5,26 , 101,6 , 13,0 , 0,Arjan Bhullar,1,48%,100%,0,1,0,24 , 50,60 , 96,1 , 1,23 , 48,1 , 2,0 , 0,14 , 34,5 , 8,5 , 8,3,00:05:00,3 Rnd (5-5-5),Dan Miragliotta,http://ufcstats.com/fight-details/7020840980f723b9
19,Kajan Johnson,1,41%,0%,0,0,0,26 , 63,26 , 63,0 , 0,7 , 29,12 , 21,7 , 13,24 , 61,0 , 0,2 , 2,Adriano Martins,0,51%,0%,1,0,0,16 , 31,16 , 31,0 , 0,8 , 21,0 , 0,8 , 10,16 , 31,0 , 0,0 , 0,3,00:00:49,3 Rnd (5-5-5),John McCarthy,http://ufcstats.com/fight-details/cce5b9dfe84630fa
20,Alexander Volkov,1,53%,100%,0,1,0,135 , 253,144 , 264,2 , 2,84 , 178,18 , 27,33 , 48,114 , 214,3 , 11,18 , 28,Stefan Struve,0,25%,0%,0,0,0,41 , 162,41 , 162,0 , 0,26 , 125,8 , 27,7 , 10,41 , 162,0 , 0,0 , 0,3,00:03:30,5 Rnd (5-5-5-5-5),Marc Goddard,http://ufcstats.com/fight-details/cfc550960a7ec353
21,Siyar Bahadurzada,3,53%,0%,1,0,0,43 , 81,44 , 82,0 , 0,36 , 74,7 , 7,0 , 0,18 , 43,14 , 16,11 , 22,Rob Wilkinson,0,52%,40%,0,0,0,24 , 46,34 , 58,2 , 5,11 , 30,4 , 6,9 , 10,22 , 43,2 , 3,0 , 0,2,00:03:10,3 Rnd (5-5-5),Leon Roberts,http://ufcstats.com/fight-details/75a978e0ecce2536
22,Marion Reneau,0,44%,0%,5,2,1,57 , 127,118 , 192,0 , 0,47 , 116,9 , 10,1 , 1,24 , 68,10 , 11,23 , 48,Talita Bernardo,0,25%,42%,1,2,0,22 , 88,38 , 112,3 , 7,11 , 75,4 , 5,7 , 8,18 , 83,1 , 1,3 , 4,3,00:04:54,3 Rnd (5-5-5),Kevin Sataki,http://ufcstats.com/fight-details/0ac25b4180406ca1
23,Leon Edwards,0,45%,50%,3,5,0,23 , 51,58 , 87,3 , 6,13 , 40,3 , 4,7 , 7,21 , 49,2 , 2,0 , 0,Bryan Barberena,1,50%,0%,1,0,0,44 , 87,115 , 163,0 , 0,28 , 65,9 , 10,7 , 12,17 , 56,23 , 24,4 , 7,3,00:05:00,3 Rnd (5-5-5),Neil Hall,http://ufcstats.com/fight-details/7303ae36077411d9
